id_review,id_sentence,gold1,gold2,gold3,A_label1,A_label2,A_label3,B_label1,B_label2,B_label3,C_label1,C_label2,C_label3
160,2,演奏者,録音の背景,,演奏者,,,演奏者,録音の背景,,演奏者,,
160,3,録音の背景,,,その他,,,録音の背景,,,評価：その他,,
160,4,演奏：キャラクター・音色,演奏：構造,,演奏：キャラクター・音色,演奏：構造,,演奏：構造,,,演奏：スタイル・理解,,
160,5,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：スタイル・理解,,,評価：その他,演奏：感情,
170,1,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,
170,2,演奏：エネルギー,演奏：構造,演奏：技術,楽曲,演奏：構造,演奏：スタイル・理解,演奏：エネルギー,演奏：時間的特徴,演奏：コミュニケーション,演奏：時間的特徴,演奏：技術,演奏：コミュニケーション
170,3,評価：感じられ方,評価：その他,,評価：感じられ方,評価：その他,,演奏：スタイル・理解,評価：感じられ方,,評価：感じられ方,評価：その他,
176,1,録音の背景,,,演奏者,録音の背景,,録音の背景,,,演奏者,録音の背景,
176,2,楽曲,,,楽曲,,,録音の背景,,,楽曲,,
176,3,楽曲,演奏：キャラクター・音色,演奏：感情,楽曲,演奏：キャラクター・音色,,演奏：スタイル・理解,,,楽曲,演奏：キャラクター・音色,演奏：感情
176,4,演奏：スタイル・理解,評価：その他,,評価：感じられ方,,,演奏：スタイル・理解,評価：その他,,演奏：スタイル・理解,評価：その他,
187,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
187,2,演奏者,録音の背景,,録音の背景,,,演奏者,録音の背景,,演奏者,録音の背景,
187,3,楽曲,評価：その他,,楽曲,,,評価：その他,,,楽曲,演奏：スタイル・理解,評価：感じられ方
187,4,演奏者,演奏：キャラクター・音色,評価：感じられ方,演奏者,演奏：キャラクター・音色,評価：感じられ方,演奏：キャラクター・音色,評価：感じられ方,演奏：スタイル・理解,演奏：キャラクター・音色,評価：感じられ方,
187,5,演奏：構造,評価：その他,,評価：その他,,,演奏：構造,評価：その他,,評価：その他,,
215,1,録音の背景,,,その他,,,録音の背景,,,その他,,
215,2,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,
215,3,演奏者,演奏：エネルギー,,演奏者,評価：その他,,演奏者,評価：感じられ方,,演奏者,演奏：エネルギー,
215,4,演奏者,評価：その他,,演奏者,評価：その他,,演奏者,評価：その他,,演奏者,評価：その他,
215,5,評価：その他,,,評価：感じられ方,,,演奏：その他,,,評価：その他,,
238,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
238,2,演奏：キャラクター・音色,演奏：時間的特徴,評価：その他,演奏：キャラクター・音色,演奏：時間的特徴,,演奏者,,,演奏：キャラクター・音色,演奏：時間的特徴,評価：その他
238,3,楽曲,,,楽曲,,,楽曲,,,楽曲,,
238,4,楽曲,,,楽曲,,,楽曲,,,楽曲,,
238,5,楽曲,,,楽曲,,,楽曲,,,楽曲,,
238,6,楽曲,,,楽曲,,,楽曲,,,楽曲,,
252,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
252,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
252,3,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
252,4,楽曲,,,楽曲,,,録音の背景,,,楽曲,評価：その他,
252,5,演奏：キャラクター・音色,,,演奏者,評価：その他,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,評価：その他,
252,6,評価：その他,,,演奏：その他,,,演奏：キャラクター・音色,評価：感じられ方,,評価：その他,,
252,7,録音の背景,楽曲,演奏：キャラクター・音色,楽曲,評価：その他,,録音の背景,演奏：キャラクター・音色,,楽曲,演奏：キャラクター・音色,
268,1,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,,
268,2,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
268,3,録音の背景,,,その他,,,録音の背景,,,演奏者,,
268,4,楽曲,,,楽曲,,,楽曲,,,楽曲,,
268,5,演奏：スタイル・理解,演奏：エネルギー,,演奏：スタイル・理解,演奏：エネルギー,,演奏：スタイル・理解,演奏：エネルギー,,演奏：キャラクター・音色,演奏：エネルギー,
268,6,楽曲,,,楽曲,,,楽曲,,,楽曲,評価：その他,
281,1,演奏：スタイル・理解,録音の背景,,評価：その他,,,評価：感じられ方,録音の背景,,演奏：スタイル・理解,録音の背景,
281,2,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
281,3,楽曲,,,楽曲,,,楽曲,,,楽曲,演奏：スタイル・理解,
281,4,演奏：エネルギー,演奏：技術,評価：感じられ方,演奏：エネルギー,評価：感じられ方,,演奏：エネルギー,演奏：スタイル・理解,,演奏：エネルギー,評価：感じられ方,
281,5,演奏：キャラクター・音色,評価：その他,,演奏：キャラクター・音色,演奏：アーティキュレーション,演奏：コミュニケーション,演奏：キャラクター・音色,演奏：時間的特徴,評価：その他,演奏：キャラクター・音色,評価：その他,
287,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
287,2,演奏者,,,その他,,,演奏者,,,演奏者,,
287,3,楽曲,演奏：スタイル・理解,,楽曲,演奏者,,楽曲,演奏：感情,,楽曲,演奏：スタイル・理解,
287,4,演奏：キャラクター・音色,演奏：感情,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,演奏：感情,演奏：コミュニケーション,演奏：キャラクター・音色,演奏：感情,
287,5,演奏：スタイル・理解,評価：その他,,評価：その他,,,評価：真正性,,,演奏：スタイル・理解,評価：その他,
292,1,演奏者,,,その他,,,演奏者,,,演奏者,,
292,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,3,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,4,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,5,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,6,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,7,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
292,8,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,
292,9,演奏：技術,,,評価：その他,,,演奏：技術,,,評価：その他,,
292,10,評価：感じられ方,,,評価：感じられ方,,,評価：感じられ方,,,評価：感じられ方,,
305,1,録音の背景,,,録音の背景,,,録音の背景,,,その他,,
305,2,楽曲,,,楽曲,,,楽曲,,,楽曲,,
305,3,演奏：キャラクター・音色,演奏：時間的特徴,演奏：感情,演奏：キャラクター・音色,演奏：時間的特徴,,演奏：キャラクター・音色,演奏：時間的特徴,演奏：スタイル・理解,演奏：キャラクター・音色,演奏：時間的特徴,演奏：感情
305,4,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,
305,5,演奏：スタイル・理解,評価：その他,,評価：その他,,,評価：感じられ方,,,演奏：スタイル・理解,評価：その他,
313,1,録音の背景,,,録音の背景,,,録音の背景,,,演奏者,録音の背景,
313,2,楽曲,,,楽曲,,,録音の背景,評価：感じられ方,,演奏：スタイル・理解,,
313,3,楽曲,録音の背景,,楽曲,,,楽曲,録音の背景,,楽曲,,
313,4,録音の背景,,,その他,,,録音の背景,,,演奏者,,
313,5,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：スタイル・理解,,
313,6,その他,,,その他,,,その他,,,その他,,
313,7,楽曲,演奏：感情,評価：感じられ方,楽曲,演奏：感情,評価：その他,楽曲,評価：感じられ方,,楽曲,演奏：感情,評価：その他
313,8,評価：その他,,,評価：その他,,,評価：その他,,,評価：その他,,
329,1,楽曲,演奏者,,楽曲,,,楽曲,,,楽曲,評価：その他,
329,2,録音の背景,,,録音の背景,,,録音の背景,,,演奏者,録音の背景,
329,3,演奏：キャラクター・音色,演奏者,演奏：構造,演奏：キャラクター・音色,演奏者,演奏：構造,演奏：キャラクター・音色,演奏：スタイル・理解,演奏：構造,演奏：キャラクター・音色,演奏：構造,評価：その他
329,4,楽曲,演奏：スタイル・理解,評価：その他,楽曲,演奏：スタイル・理解,評価：その他,楽曲,評価：感じられ方,,楽曲,評価：その他,演奏：スタイル・理解
342,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
342,2,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
342,3,演奏：キャラクター・音色,評価：感じられ方,,演奏：キャラクター・音色,評価：感じられ方,,演奏：キャラクター・音色,演奏：コミュニケーション,,演奏：キャラクター・音色,評価：感じられ方,
342,4,演奏：キャラクター・音色,演奏：構造,,楽曲,演奏：コミュニケーション,,演奏：キャラクター・音色,評価：感じられ方,,演奏：キャラクター・音色,演奏：構造,
348,1,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,,評価：感じられ方,,,演奏：キャラクター・音色,,
348,2,演奏者,録音の背景,,演奏者,楽曲,録音の背景,演奏者,録音の背景,,演奏者,録音の背景,
348,3,録音の背景,評価：その他,演奏：スタイル・理解,評価：その他,演奏：構造,,録音の背景,演奏：技術,,評価：その他,演奏：キャラクター・音色,
348,4,演奏：スタイル・理解,演奏：キャラクター・音色,,楽曲,演奏：スタイル・理解,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,
348,5,評価：その他,,,評価：その他,,,評価：その他,,,評価：その他,,
357,1,楽曲,,,楽曲,,,楽曲,,,楽曲,,
357,2,演奏者,楽曲,演奏：スタイル・理解,演奏者,楽曲,,演奏者,演奏：その他,,演奏者,演奏：スタイル・理解,
357,3,楽曲,演奏：スタイル・理解,録音の背景,楽曲,演奏：スタイル・理解,演奏：コミュニケーション,演奏：構造,楽器,演奏：感情,演奏：エネルギー,録音の背景,演奏：感情
357,4,演奏：スタイル・理解,評価：感じられ方,,評価：その他,,,演奏：スタイル・理解,評価：感じられ方,,評価：その他,,
366,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
366,2,演奏者,,,演奏者,,,演奏者,,,演奏：スタイル・理解,評価：その他,
366,3,演奏：キャラクター・音色,演奏：技術,評価：感じられ方,演奏：キャラクター・音色,演奏：技術,,演奏：キャラクター・音色,評価：感じられ方,,演奏：キャラクター・音色,演奏：技術,評価：感じられ方
366,4,演奏：技術,演奏：構造,評価：その他,演奏：技術,楽曲,評価：その他,演奏：技術,演奏：構造,評価：その他,演奏：技術,演奏：構造,評価：その他
366,5,評価：その他,,,評価：その他,,,評価：その他,,,評価：その他,,
376,1,演奏者,,,演奏者,,,演奏者,,,演奏：キャラクター・音色,演奏：技術,
376,2,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
376,3,楽器,楽曲,演奏：キャラクター・音色,楽器,楽曲,,楽器,演奏：キャラクター・音色,,楽曲,演奏：キャラクター・音色,
376,4,評価：その他,,,評価：その他,,,評価：感じられ方,,,評価：その他,,
376,5,演奏：感情,楽曲,評価：真正性,演奏：感情,楽曲,演奏：スタイル・理解,演奏：感情,評価：真正性,,演奏：感情,楽曲,評価：その他
386,1,その他,,,その他,,,その他,,,その他,,
386,2,その他,録音の背景,楽曲,楽曲,,,その他,録音の背景,,その他,楽曲,
386,3,楽曲,演奏：キャラクター・音色,,楽曲,演奏：スタイル・理解,,録音の背景,演奏：構造,演奏：スタイル・理解,その他,楽曲,演奏：キャラクター・音色
394,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
394,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
394,3,演奏者,,,演奏者,,,演奏者,,,演奏者,,
394,4,録音の背景,,,録音の背景,,,評価：その他,,,評価：その他,,
394,5,楽曲,演奏：キャラクター・音色,評価：感じられ方,楽曲,演奏：キャラクター・音色,,演奏者,演奏：キャラクター・音色,評価：感じられ方,楽曲,演奏：キャラクター・音色,評価：その他
394,6,演奏：時間的特徴,演奏：構造,,演奏：時間的特徴,演奏：構造,,演奏：時間的特徴,演奏：構造,,演奏：時間的特徴,演奏：構造,
423,1,演奏者,,,演奏者,,,演奏者,,,演奏者,演奏：技術,評価：その他
423,2,演奏者,楽曲,,楽曲,,,録音の背景,,,演奏者,楽曲,
423,3,楽曲,,,演奏：技術,演奏：キャラクター・音色,演奏：スタイル・理解,楽曲,,,楽曲,,
423,4,評価：その他,演奏：構造,,演奏：構造,,,演奏：技術,演奏：キャラクター・音色,評価：感じられ方,評価：その他,演奏：構造,
447,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
447,2,演奏者,演奏：キャラクター・音色,演奏：スタイル・理解,演奏者,演奏：キャラクター・音色,演奏：感情,演奏者,演奏：キャラクター・音色,演奏：スタイル・理解,演奏：スタイル・理解,演奏者,
447,3,楽曲,評価：感じられ方,,楽曲,,,楽曲,評価：感じられ方,,楽曲,評価：感じられ方,
447,4,演奏：スタイル・理解,評価：その他,,その他,,,演奏：キャラクター・音色,演奏：コミュニケーション,評価：感じられ方,演奏：スタイル・理解,評価：感じられ方,
466,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
466,2,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
466,3,演奏：スタイル・理解,演奏：コミュニケーション,演奏：キャラクター・音色,楽曲,演奏：スタイル・理解,演奏：構造,演奏：技術,演奏：コミュニケーション,演奏：キャラクター・音色,演奏：スタイル・理解,演奏：コミュニケーション,演奏：構造
466,4,演奏：エネルギー,演奏：感情,評価：感じられ方,楽曲,演奏：時間的特徴,演奏：感情,演奏：エネルギー,演奏：感情,評価：感じられ方,演奏：時間的特徴,演奏：感情,評価：その他
473,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
473,2,評価：その他,演奏：キャラクター・音色,評価：感じられ方,評価：その他,評価：感じられ方,,演奏：キャラクター・音色,演奏：エネルギー,評価：感じられ方,評価：感じられ方,演奏：キャラクター・音色,
473,3,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：感情,,,演奏：スタイル・理解,,
473,4,演奏：スタイル・理解,演奏：キャラクター・音色,,楽曲,演奏：キャラクター・音色,,演奏：感情,演奏：キャラクター・音色,,演奏：スタイル・理解,演奏：キャラクター・音色,
473,5,演奏：コミュニケーション,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：スタイル・理解,評価：感じられ方,,演奏：コミュニケーション,評価：感じられ方,
490,1,録音の背景,,,演奏者,楽曲,録音の背景,録音の背景,,,演奏者,録音の背景,
490,2,録音の背景,,,楽曲,,,録音の背景,,,楽曲,,
490,3,楽曲,,,楽曲,,,楽曲,,,楽曲,,
490,4,演奏者,演奏：エネルギー,,演奏者,演奏：エネルギー,,演奏者,演奏：エネルギー,,演奏者,演奏：キャラクター・音色,
490,5,評価：その他,,,評価：その他,,,評価：感じられ方,,,評価：その他,,
498,1,録音の背景,,,演奏者,録音の背景,,録音の背景,,,演奏者,録音の背景,
498,2,録音の背景,評価：感じられ方,演奏：感情,評価：感じられ方,演奏：感情,楽曲,録音の背景,評価：感じられ方,演奏：感情,演奏：感情,楽曲,
498,3,演奏：キャラクター・音色,評価：感じられ方,,演奏：キャラクター・音色,評価：その他,,演奏：キャラクター・音色,評価：感じられ方,,評価：対比,,
498,4,演奏：時間的特徴,演奏：感情,評価：その他,演奏：時間的特徴,演奏：キャラクター・音色,,演奏：時間的特徴,演奏：感情,,演奏：時間的特徴,評価：その他,
519,1,演奏者,録音の背景,,演奏者,,,演奏者,録音の背景,,演奏者,録音の背景,
519,2,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
519,3,録音の背景,演奏：キャラクター・音色,評価：感じられ方,楽曲,,,録音の背景,評価：感じられ方,,演奏：キャラクター・音色,評価：感じられ方,
519,4,演奏：キャラクター・音色,評価：真正性,演奏：コミュニケーション,演奏：キャラクター・音色,演奏：コミュニケーション,,演奏：キャラクター・音色,評価：真正性,演奏：コミュニケーション,演奏：キャラクター・音色,演奏：エネルギー,演奏：コミュニケーション
519,5,演奏：コミュニケーション,評価：感じられ方,,演奏：コミュニケーション,評価：感じられ方,,演奏：コミュニケーション,評価：感じられ方,,演奏：コミュニケーション,評価：感じられ方,
526,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
526,2,演奏者,,,楽曲,演奏者,,演奏者,,,演奏者,,
526,3,楽曲,,,楽曲,,,録音の背景,,,楽曲,,
526,4,演奏：キャラクター・音色,演奏：スタイル・理解,評価：その他,演奏：キャラクター・音色,演奏：スタイル・理解,評価：その他,演奏：構造,演奏：技術,評価：感じられ方,演奏：エネルギー,演奏：スタイル・理解,評価：その他
534,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
534,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
534,3,楽曲,録音の背景,,楽曲,録音の背景,,録音の背景,,,楽曲,録音の背景,
534,4,楽曲,,,楽曲,,,楽曲,,,楽曲,,
534,5,演奏：キャラクター・音色,評価：その他,,演奏：キャラクター・音色,評価：その他,,演奏：技術,演奏：キャラクター・音色,評価：感じられ方,評価：感じられ方,,
534,6,演奏：スタイル・理解,,,評価：感じられ方,,,演奏：感情,,,演奏：スタイル・理解,,
546,1,演奏者,,,演奏者,,,録音の背景,,,演奏者,,
546,2,録音の背景,,,録音の背景,,,録音の背景,,,演奏者,録音の背景,
546,3,録音の背景,演奏：キャラクター・音色,,録音の背景,演奏：キャラクター・音色,,録音の背景,,,演奏：スタイル・理解,演奏：キャラクター・音色,
546,4,演奏：技術,演奏：キャラクター・音色,演奏：感情,演奏：技術,演奏：キャラクター・音色,評価：感じられ方,演奏：技術,演奏：キャラクター・音色,演奏：コミュニケーション,演奏：技術,演奏：キャラクター・音色,評価：感じられ方
562,1,演奏者,楽曲,,演奏者,,,演奏者,,,演奏者,楽曲,
562,2,楽曲,,,楽曲,,,楽曲,,,楽曲,,
562,3,演奏者,楽曲,,楽曲,,,演奏者,楽曲,,演奏者,楽曲,
562,4,演奏：キャラクター・音色,演奏：構造,,演奏：スタイル・理解,演奏：構造,,演奏：キャラクター・音色,演奏：構造,,演奏：キャラクター・音色,演奏：構造,
562,5,評価：その他,,,評価：その他,,,評価：感じられ方,,,評価：その他,,
575,1,その他,,,その他,,,評価：真正性,,,その他,,
575,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
575,3,演奏者,,,演奏者,,,評価：真正性,演奏者,,演奏者,,
575,4,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
575,5,演奏：キャラクター・音色,演奏：構造,,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：キャラクター・音色,演奏：構造,
575,6,演奏：スタイル・理解,演奏：構造,,演奏：スタイル・理解,,,演奏：スタイル・理解,演奏：構造,,演奏：構造,,
575,7,評価：真正性,,,演奏：スタイル・理解,,,評価：真正性,,,評価：真正性,,
586,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
586,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
586,3,録音の背景,楽曲,,録音の背景,楽曲,,録音の背景,,,録音の背景,楽曲,
586,4,楽曲,,,楽曲,,,楽曲,録音の背景,,楽曲,,
586,5,演奏：スタイル・理解,演奏：リズム,評価：その他,演奏：キャラクター・音色,演奏：リズム,演奏：コミュニケーション,演奏：技術,演奏：リズム,評価：感じられ方,演奏：スタイル・理解,演奏：リズム,評価：その他
594,1,楽器,録音の背景,,録音の背景,,,録音の背景,,,楽器,録音の背景,
594,2,楽曲,,,楽曲,,,録音の背景,,,楽曲,,
594,3,演奏：キャラクター・音色,演奏：コミュニケーション,,演奏：スタイル・理解,,,演奏：キャラクター・音色,演奏：コミュニケーション,,演奏：コミュニケーション,,
594,4,評価：対比,演奏：キャラクター・音色,評価：その他,演奏：キャラクター・音色,評価：その他,,評価：対比,演奏：キャラクター・音色,評価：感じられ方,評価：その他,演奏：構造,
611,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
611,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
611,3,演奏者,演奏：スタイル・理解,,演奏者,演奏：スタイル・理解,,演奏者,演奏：構造,,演奏：スタイル・理解,楽曲,
611,4,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,
611,5,演奏：構造,演奏：スタイル・理解,,演奏：スタイル・理解,評価：その他,,演奏：構造,演奏：スタイル・理解,,評価：その他,演奏：キャラクター・音色,
617,1,録音の背景,楽曲,,楽曲,,,録音の背景,楽曲,,楽曲,,
617,2,その他,演奏：エネルギー,演奏：スタイル・理解,演奏：スタイル・理解,,,その他,演奏：エネルギー,演奏：感情,その他,演奏：キャラクター・音色,演奏：スタイル・理解
617,3,演奏：スタイル・理解,,,演奏：エネルギー,,,演奏：スタイル・理解,,,楽曲,評価：その他,
617,4,評価：感じられ方,,,評価：その他,,,評価：感じられ方,,,評価：感じられ方,,
632,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
632,2,演奏者,楽曲,,楽曲,,,演奏者,,,演奏者,楽曲,
632,3,楽曲,,,楽曲,,,楽曲,,,楽曲,,
632,4,楽曲,,,楽曲,,,楽曲,,,楽曲,,
632,5,楽曲,,,楽曲,,,楽曲,,,楽曲,,
632,6,楽曲,演奏：キャラクター・音色,演奏：構造,楽曲,演奏：スタイル・理解,,楽曲,演奏：キャラクター・音色,演奏：構造,楽曲,演奏：キャラクター・音色,評価：その他
639,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
639,2,演奏者,演奏：キャラクター・音色,演奏：スタイル・理解,演奏者,,,演奏者,,,演奏者,演奏：キャラクター・音色,演奏：スタイル・理解
